# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mRp.clN.saf" "-s" "0" "-o" "consensus_peaks.mRp.clN.featureCounts.txt" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam
Interval_987	XIII	124216	124599	+	384	17	16	15	16
Interval_988	XIII	131639	131911	+	273	10	4	4	6
Interval_989	XIII	145797	146434	+	638	19	22	17	20
Interval_990	XIII	158871	159360	+	490	18	6	5	15
Interval_991	XIII	162426	162626	+	201	4	7	4	4
Interval_992	XIII	169838	170382	+	545	32	20	19	26
Interval_993	XIII	178213	178458	+	246	7	4	3	7
Interval_994	XIII	183837	184064	+	228	3	7	6	3
Interval_995	XIII	192073	192283	+	211	4	2	1	4
Interval_996	XIII	195818	196477	+	660	11	12	11	7
Interval_997	XIII	213699	214139	+	441	3	5	4	3
Interval_998	XIII	219818	220034	+	217	9	4	3	6
Interval_999	XIII	220848	221190	+	343	14	6	5	13
Interval_1000	XIII	223885	224223	+	339	15	10	9	16
Interval_1001	XIII	225462	225919	+	458	24	17	17	19
Interval_1002	XIII	236220	236504	+	285	6	4	2	5
Interval_1003	XIII	243970	244195	+	226	7	5	4	7
Interval_1004	XIII	245876	246076	+	201	3	6	5	1
Interval_1005	XIII	253140	253777	+	638	19	17	18	18
Interval_1006	XIII	258824	259169	+	346	13	3	3	9
Interval_1007	XIII	271492	272165	+	674	23	31	26	20
Interval_1008	XIII	279696	280269	+	574	12	10	10	11
Interval_1009	XIII	282929	283200	+	272	9	5	5	7
Interval_1010	XIII	287428	287853	+	426	24	16	15	24
Interval_1011	XIII	290824	291178	+	355	9	6	5	9
Interval_1012	XIII	296727	297082	+	356	10	9	9	10
Interval_1013	XIII	302756	303164	+	409	12	17	15	10
Interval_1014	XIII	306084	306923	+	840	42	44	41	40
Interval_1015	XIII	325646	325881	+	236	3	5	4	4
Interval_1016	XIII	334704	335115	+	412	13	6	5	10
Interval_1017	XIII	340958	341268	+	311	9	2	2	9
Interval_1018	XIII	346989	347483	+	495	23	11	10	18
Interval_1019	XIII	349834	350129	+	296	13	9	7	11
Interval_1020	XIII	352312	353530	+	1219	40	35	33	39
Interval_1021	XIII	361627	363235	+	1609	24	25	17	16
Interval_1022	XIII	372301	372564	+	264	9	2	1	9
Interval_1023	XIII	379117	379476	+	360	15	11	9	14
Interval_1024	XIII	387916	388715	+	800	34	32	32	30
Interval_1025	XIII	396565	396964	+	400	5	4	3	6
Interval_1026	XIII	407528	408860	+	1333	63	61	56	59
Interval_1027	XIII	420241	420683	+	443	10	7	6	10
Interval_1028	XIII	433689	434728	+	1040	34	30	28	29
Interval_1029	XIII	453430	453865	+	436	8	5	4	6
Interval_1030	XIII	463110	463686	+	577	10	9	9	9
Interval_1031	XIII	465640	465893	+	254	5	7	6	3
Interval_1032	XIII	472712	473409	+	698	18	27	25	15
Interval_1033	XIII	480433	480917	+	485	8	9	8	7
Interval_1034	XIII	482595	483679	+	1085	10	8	8	10
Interval_1035	XIII	498470	498741	+	272	3	4	3	4
Interval_1036	XIII	500743	501099	+	357	7	5	4	8
Interval_1037	XIII	504849	505148	+	300	9	8	5	7
Interval_1038	XIII	510341	511250	+	910	38	30	28	37
Interval_1039	XIII	540053	540839	+	787	46	27	22	41
Interval_1040	XIII	551120	551875	+	756	52	43	38	47
Interval_1041	XIII	556742	557380	+	639	28	37	33	22
Interval_1042	XIII	601034	601425	+	392	5	6	6	4
Interval_1043	XIII	608324	608524	+	201	2	6	5	2
Interval_1044	XIII	616117	616332	+	216	7	1	1	6
Interval_1045	XIII	625673	626145	+	473	5	7	6	2
Interval_1046	XIII	627843	628184	+	342	10	6	6	10
Interval_1047	XIII	637104	637420	+	317	7	5	5	8
Interval_1048	XIII	652710	654100	+	1391	65	23	23	55
Interval_1049	XIII	661633	662278	+	646	29	12	13	25
Interval_1050	XIII	667135	667450	+	316	7	5	5	7
Interval_1051	XIII	674942	675565	+	624	25	17	15	23
Interval_1052	XIII	701176	701376	+	201	9	3	3	5
Interval_1053	XIII	732130	732384	+	255	4	5	7	4
Interval_1054	XIII	742809	743778	+	970	11	7	7	10
Interval_1055	XIII	751318	751600	+	283	8	6	5	10
Interval_1056	XIII	754293	754542	+	250	20	5	5	16
Interval_1057	XIII	758888	759529	+	642	37	26	22	37
Interval_1058	XIII	773855	774558	+	704	33	23	19	29
Interval_1059	XIII	777294	777842	+	549	13	9	8	11
Interval_1060	XIII	797897	798374	+	478	23	15	14	22
Interval_1061	XIII	807963	809031	+	1069	14	8	9	13
Interval_1062	XIII	810888	811146	+	259	12	2	2	12
Interval_1063	XIII	831562	832158	+	597	5	4	4	6
Interval_1064	XIII	851614	852464	+	851	17	11	12	18
Interval_1065	XIII	861000	861968	+	969	23	18	18	22
Interval_1066	XIII	867402	867671	+	270	2	7	7	1
Interval_1067	XIII	872572	872972	+	401	12	8	8	12
Interval_1068	XIII	880507	880989	+	483	13	17	17	12
Interval_1069	XIII	886366	886805	+	440	16	5	5	16
Interval_1070	XIII	888321	888651	+	331	5	4	2	3
Interval_1071	XIII	895446	895902	+	457	8	2	2	7
Interval_1072	XIII	897505	897734	+	230	3	4	3	3
Interval_1073	XIII	901378	901631	+	254	7	5	4	10
Interval_1074	XIII	904194	904846	+	653	9	14	12	9
Interval_1075	XIII	914894	915649	+	756	34	36	34	27
Interval_1076	XIII	923622	924422	+	801	86	63	57	67
Interval_1077	XIV	6532	7336	+	805	59	50	50	50
Interval_1078	XIV	19202	19455	+	254	7	4	3	5
Interval_1079	XIV	22780	23793	+	1014	17	7	7	17
Interval_1080	XIV	34196	34793	+	598	12	6	6	11
Interval_1081	XIV	44289	44568	+	280	4	6	5	4
Interval_1082	XIV	51698	52187	+	490	10	3	2	7
Interval_1083	XIV	57555	58243	+	689	18	11	9	18
Interval_1084	XIV	62924	63664	+	741	24	22	21	21
Interval_1085	XIV	68341	68808	+	468	11	9	9	9
Interval_1086	XIV	87043	87646	+	604	13	13	13	12
Interval_1087	XIV	88949	90156	+	1208	22	24	22	21
Interval_1088	XIV	96133	96480	+	348	16	6	5	13
Interval_1089	XIV	101623	101979	+	357	4	7	4	2
Interval_1090	XIV	104209	104937	+	729	11	12	10	10
Interval_1091	XIV	107147	107532	+	386	13	7	6	11
Interval_1092	XIV	110495	110809	+	315	8	9	7	8
Interval_1093	XIV	116213	117033	+	821	13	12	13	11
Interval_1094	XIV	137908	138453	+	546	18	8	7	15
Interval_1095	XIV	145579	145805	+	227	3	2	3	1
Interval_1096	XIV	169720	169951	+	232	5	3	4	5
Interval_1097	XIV	174414	174908	+	495	9	10	8	7
Interval_1098	XIV	187414	188029	+	616	11	8	5	11
Interval_1099	XIV	197989	198969	+	981	34	24	24	37
Interval_1100	XIV	209820	210178	+	359	11	6	5	9
Interval_1101	XIV	217308	217722	+	415	15	6	6	15
Interval_1102	XIV	229647	229923	+	277	6	3	2	5
Interval_1103	XIV	233762	234114	+	353	8	9	8	8
Interval_1104	XIV	239826	240476	+	651	18	5	5	16
Interval_1105	XIV	241545	241790	+	246	8	2	2	7
Interval_1106	XIV	276003	276369	+	367	5	9	9	5
Interval_1107	XIV	277079	277342	+	264	6	3	2	6
Interval_1108	XIV	281488	282086	+	599	25	14	15	23
Interval_1109	XIV	289054	289254	+	201	7	2	2	5
Interval_1110	XIV	301155	302645	+	1491	37	23	21	34
Interval_1111	XIV	310075	310546	+	472	13	4	4	13
Interval_1112	XIV	330892	331321	+	430	26	18	15	24
Interval_1113	XIV	332366	332557	+	192	5	2	2	3
Interval_1114	XIV	340177	340572	+	396	10	3	2	9
Interval_1115	XIV	349822	350505	+	684	48	24	20	43
Interval_1116	XIV	355253	355997	+	745	38	30	25	31
Interval_1117	XIV	373475	375194	+	1720	33	18	17	31
Interval_1118	XIV	392527	392727	+	201	5	2	1	5
Interval_1119	XIV	405655	406033	+	379	16	14	13	15
Interval_1120	XIV	412183	412690	+	508	12	7	7	9
Interval_1121	XIV	415612	416575	+	964	11	18	16	11
Interval_1122	XIV	426964	427664	+	701	32	25	25	28
Interval_1123	XIV	440747	441259	+	513	24	17	13	23
Interval_1124	XIV	442783	443102	+	320	11	10	5	10
Interval_1125	XIV	444329	444715	+	387	15	7	6	11
Interval_1126	XIV	452013	452213	+	201	5	3	2	6
Interval_1127	XIV	479127	481065	+	1939	32	20	19	28
Interval_1128	XIV	495048	495449	+	402	19	21	19	17
Interval_1129	XIV	498726	500892	+	2167	37	23	21	35
Interval_1130	XIV	503114	503530	+	417	17	11	11	15
Interval_1131	XIV	507380	507895	+	516	10	9	8	9
Interval_1132	XIV	515228	515479	+	252	1	3	2	1
Interval_1133	XIV	518991	519793	+	803	12	5	4	9
Interval_1134	XIV	546639	547995	+	1357	22	15	14	20
Interval_1135	XIV	559198	560861	+	1664	47	36	36	46
Interval_1136	XIV	567994	568481	+	488	13	13	11	11
Interval_1137	XIV	569460	570114	+	655	22	17	15	19
Interval_1138	XIV	576082	576879	+	798	26	23	20	25
Interval_1139	XIV	586443	587796	+	1354	22	13	13	21
Interval_1140	XIV	602228	602755	+	528	15	10	9	15
Interval_1141	XIV	604777	605159	+	383	8	10	10	7
Interval_1142	XIV	619771	620042	+	272	11	6	6	7
Interval_1143	XIV	622520	622720	+	201	4	7	6	2
Interval_1144	XIV	631344	633560	+	2217	21	33	34	20
Interval_1145	XIV	642179	642543	+	365	1	9	9	1
Interval_1146	XIV	651908	653563	+	1656	26	21	18	22
Interval_1147	XIV	661924	662653	+	730	42	37	34	43
Interval_1148	XIV	663658	664216	+	559	26	23	18	25
Interval_1149	XIV	693907	694314	+	408	9	5	4	8
Interval_1150	XIV	707619	708555	+	937	14	15	13	13
Interval_1151	XIV	738793	739656	+	864	20	19	16	18
Interval_1152	XIV	759297	759609	+	313	7	7	7	5
Interval_1153	XIV	762967	763423	+	457	8	5	4	7
Interval_1154	XIV	763967	764426	+	460	5	7	5	5
Interval_1155	XIV	778858	779093	+	236	5	6	7	5
Interval_1156	XIV	783428	784178	+	751	44	39	34	35
Interval_1157	XV	0	741	+	742	71	68	59	63
Interval_1158	XV	21084	21846	+	763	11	12	13	10
Interval_1159	XV	27500	28095	+	596	19	24	14	14
Interval_1160	XV	31845	32291	+	447	6	9	7	5
Interval_1161	XV	55083	55814	+	732	18	8	6	16
Interval_1162	XV	58501	58701	+	201	8	2	2	8
Interval_1163	XV	61105	61319	+	215	8	2	1	8
Interval_1164	XV	69047	70317	+	1271	27	17	16	23
Interval_1165	XV	77460	77663	+	204	7	6	5	5
Interval_1166	XV	79803	80191	+	389	25	12	12	20
Interval_1167	XV	81695	82016	+	322	10	9	7	9
Interval_1168	XV	82747	83678	+	932	29	29	26	25
Interval_1169	XV	92913	93565	+	653	17	14	14	16
Interval_1170	XV	94364	94725	+	362	13	10	8	14
Interval_1171	XV	109104	110208	+	1105	107	67	63	95
Interval_1172	XV	117581	118159	+	579	9	13	10	3
Interval_1173	XV	127927	128908	+	982	18	15	13	18
Interval_1174	XV	158975	161883	+	2909	103	108	99	96
Interval_1175	XV	167963	168561	+	599	17	17	15	17
Interval_1176	XV	170102	170806	+	705	10	21	22	11
Interval_1177	XV	216189	216883	+	695	34	30	26	31
Interval_1178	XV	218737	219025	+	289	11	12	9	10
Interval_1179	XV	227909	228617	+	709	16	8	9	14
Interval_1180	XV	232013	232530	+	518	15	7	7	12
Interval_1181	XV	234186	235044	+	859	16	14	14	18
Interval_1182	XV	253638	254194	+	557	28	30	29	25
Interval_1183	XV	267723	267923	+	201	5	4	4	5
Interval_1184	XV	273807	274929	+	1123	23	21	19	17
Interval_1185	XV	285554	286051	+	498	11	11	10	8
Interval_1186	XV	288181	288778	+	598	22	15	14	20
Interval_1187	XV	301030	301266	+	237	10	4	5	10
Interval_1188	XV	304192	305075	+	884	33	20	17	32
Interval_1189	XV	315922	316700	+	779	28	17	16	26
Interval_1190	XV	347309	347616	+	308	8	5	4	6
Interval_1191	XV	349231	349789	+	559	10	2	2	8
Interval_1192	XV	370951	371479	+	529	4	7	5	5
Interval_1193	XV	377817	378150	+	334	11	9	7	9
Interval_1194	XV	384720	385096	+	377	8	9	9	10
Interval_1195	XV	391380	391911	+	532	18	8	7	18
Interval_1196	XV	424185	424629	+	445	20	14	13	19
Interval_1197	XV	431784	432056	+	273	8	4	3	8
Interval_1198	XV	438691	439268	+	578	5	6	5	3
Interval_1199	XV	443348	444447	+	1100	25	23	22	25
Interval_1200	XV	446561	447090	+	530	17	5	4	16
Interval_1201	XV	461655	462887	+	1233	26	15	12	23
Interval_1202	XV	464377	464694	+	318	9	5	4	8
Interval_1203	XV	471716	472724	+	1009	18	10	10	15
Interval_1204	XV	479833	480483	+	651	16	5	4	15
Interval_1205	XV	487080	487945	+	866	28	18	15	24
Interval_1206	XV	494172	495101	+	930	41	18	18	37
Interval_1207	XV	504360	505795	+	1436	39	39	34	33
Interval_1208	XV	511316	511781	+	466	23	14	11	21
Interval_1209	XV	514320	515033	+	714	16	14	12	10
Interval_1210	XV	520474	520975	+	502	16	15	14	14
Interval_1211	XV	522699	522903	+	205	1	8	7	1
Interval_1212	XV	579795	580064	+	270	9	5	4	9
Interval_1213	XV	586372	586639	+	268	7	6	5	7
Interval_1214	XV	592604	592882	+	279	8	4	3	7
Interval_1215	XV	606276	606548	+	273	9	4	4	8
Interval_1216	XV	618651	619647	+	997	49	22	22	39
Interval_1217	XV	631878	632158	+	281	4	8	8	4
Interval_1218	XV	638773	639700	+	928	31	18	18	30
Interval_1219	XV	648530	649172	+	643	9	7	5	9
Interval_1220	XV	663574	663774	+	201	2	5	5	1
Interval_1221	XV	670878	671405	+	528	21	13	13	21
Interval_1222	XV	673744	674001	+	258	5	6	7	5
Interval_1223	XV	678868	679270	+	403	15	11	10	15
Interval_1224	XV	682293	683869	+	1577	22	18	18	21
Interval_1225	XV	689385	689591	+	207	7	3	3	6
Interval_1226	XV	722696	722912	+	217	5	3	3	5
Interval_1227	XV	742157	742717	+	561	18	21	19	17
Interval_1228	XV	761536	762513	+	978	21	21	21	18
Interval_1229	XV	768019	768243	+	225	7	6	4	7
Interval_1230	XV	769605	770494	+	890	27	17	18	24
Interval_1231	XV	772207	772607	+	401	9	7	6	9
Interval_1232	XV	779484	780954	+	1471	46	54	51	47
Interval_1233	XV	796916	797265	+	350	13	6	5	12
Interval_1234	XV	825343	826350	+	1008	27	19	19	24
Interval_1235	XV	832137	832781	+	645	19	26	22	17
Interval_1236	XV	836648	837243	+	596	29	21	20	23
Interval_1237	XV	842076	842721	+	646	16	9	8	18
Interval_1238	XV	849506	850126	+	621	8	6	5	6
Interval_1239	XV	866609	867231	+	623	32	33	28	27
Interval_1240	XV	877755	878239	+	485	30	16	15	24
Interval_1241	XV	881981	882540	+	560	34	26	26	32
Interval_1242	XV	891707	892016	+	310	9	6	6	7
Interval_1243	XV	901255	901604	+	350	17	21	19	14
Interval_1244	XV	903813	904492	+	680	26	25	26	24
Interval_1245	XV	908521	909130	+	610	29	21	16	31
Interval_1246	XV	911869	912736	+	868	40	23	22	38
Interval_1247	XV	931251	931873	+	623	11	14	14	11
Interval_1248	XV	949439	949682	+	244	7	3	2	6
Interval_1249	XV	965882	966448	+	567	6	9	7	5
Interval_1250	XV	967916	968549	+	634	16	14	13	15
Interval_1251	XV	978383	979565	+	1183	101	73	62	84
Interval_1252	XV	987377	989622	+	2246	145	92	91	126
Interval_1253	XV	1003138	1004302	+	1165	17	15	15	14
Interval_1254	XV	1009623	1010071	+	449	6	7	5	6
Interval_1255	XV	1039448	1039710	+	263	9	7	8	7
Interval_1256	XV	1042902	1043690	+	789	26	17	12	25
Interval_1257	XV	1059115	1059392	+	278	3	5	2	2
Interval_1258	XV	1064337	1064972	+	636	11	3	3	13
Interval_1259	XV	1084219	1084472	+	254	6	11	6	4
Interval_1260	XVI	6516	6925	+	410	10	8	4	6
Interval_1261	XVI	22130	22865	+	736	12	16	13	10
Interval_1262	XVI	24717	24949	+	233	10	3	3	10
Interval_1263	XVI	29900	30605	+	706	8	9	9	9
Interval_1264	XVI	40302	40860	+	559	31	21	19	29
Interval_1265	XVI	55905	56517	+	613	16	22	15	15
Interval_1266	XVI	66821	67814	+	994	20	15	14	18
Interval_1267	XVI	74565	75630	+	1066	60	48	45	54
Interval_1268	XVI	76264	76617	+	354	27	22	20	21
Interval_1269	XVI	88113	88457	+	345	9	4	4	9
Interval_1270	XVI	95205	95496	+	292	7	9	8	6
Interval_1271	XVI	98899	99532	+	634	17	3	3	14
Interval_1272	XVI	105468	105737	+	270	9	6	5	7
Interval_1273	XVI	106791	107031	+	241	13	8	8	13
Interval_1274	XVI	108266	108627	+	362	13	8	7	14
Interval_1275	XVI	114193	114974	+	782	19	14	14	18
Interval_1276	XVI	118078	118374	+	297	4	7	7	4
Interval_1277	XVI	132162	132692	+	531	15	13	12	15
Interval_1278	XVI	135324	135731	+	408	7	9	9	5
Interval_1279	XVI	143076	143303	+	228	2	5	4	2
Interval_1280	XVI	163594	163946	+	353	4	8	6	4
Interval_1281	XVI	172848	173159	+	312	7	8	7	7
Interval_1282	XVI	174445	174875	+	431	2	8	2	2
Interval_1283	XVI	188613	189045	+	433	13	9	8	13
Interval_1284	XVI	202859	203240	+	382	5	9	6	4
Interval_1285	XVI	207460	207791	+	332	9	4	4	7
Interval_1286	XVI	214301	215435	+	1135	72	69	60	64
Interval_1287	XVI	227721	228134	+	414	15	12	12	13
Interval_1288	XVI	246351	246547	+	197	4	3	0	4
Interval_1289	XVI	256960	257456	+	497	19	7	6	18
Interval_1290	XVI	280089	280398	+	310	16	3	3	17
Interval_1291	XVI	281531	282057	+	527	31	16	16	29
Interval_1292	XVI	296815	297570	+	756	23	13	15	21
Interval_1293	XVI	302764	303028	+	265	8	5	5	8
Interval_1294	XVI	308307	308531	+	225	7	3	3	7
Interval_1295	XVI	309718	310140	+	423	10	7	6	10
Interval_1296	XVI	328954	329257	+	304	6	7	7	8
Interval_1297	XVI	338737	340880	+	2144	66	38	38	60
Interval_1298	XVI	370733	371024	+	292	8	5	5	8
Interval_1299	XVI	378382	378898	+	517	20	17	15	20
Interval_1300	XVI	381365	381565	+	201	6	2	1	5
Interval_1301	XVI	404210	404698	+	489	17	12	11	17
Interval_1302	XVI	406113	406652	+	540	23	22	18	20
Interval_1303	XVI	411566	412309	+	744	12	12	11	12
Interval_1304	XVI	425083	426016	+	934	44	34	33	43
Interval_1305	XVI	431510	432292	+	783	41	35	34	36
Interval_1306	XVI	450817	451450	+	634	19	14	13	19
Interval_1307	XVI	453301	453887	+	587	23	9	10	21
Interval_1308	XVI	454874	455236	+	363	14	10	9	12
Interval_1309	XVI	463945	464192	+	248	9	4	2	7
Interval_1310	XVI	481931	482434	+	504	15	7	6	15
Interval_1311	XVI	491646	491929	+	284	3	7	7	3
Interval_1312	XVI	497798	498040	+	243	5	10	7	6
Interval_1313	XVI	502321	503325	+	1005	48	30	30	39
Interval_1314	XVI	517284	517504	+	221	2	7	7	1
Interval_1315	XVI	520104	520708	+	605	16	10	11	15
Interval_1316	XVI	527046	527284	+	239	4	8	8	2
Interval_1317	XVI	565019	565219	+	201	3	4	4	3
Interval_1318	XVI	566867	567092	+	226	5	6	6	5
Interval_1319	XVI	572255	572705	+	451	11	11	9	10
Interval_1320	XVI	581448	582305	+	858	17	13	12	16
Interval_1321	XVI	586024	587480	+	1457	29	27	23	29
Interval_1322	XVI	591257	591586	+	330	10	7	5	9
Interval_1323	XVI	594040	594236	+	197	3	3	3	3
Interval_1324	XVI	627166	627723	+	558	13	5	5	12
Interval_1325	XVI	631408	631722	+	315	2	1	1	2
Interval_1326	XVI	641208	641893	+	686	42	38	36	41
Interval_1327	XVI	645038	645803	+	766	51	23	20	44
Interval_1328	XVI	653650	654129	+	480	18	7	6	17
Interval_1329	XVI	656559	656788	+	230	8	3	3	7
Interval_1330	XVI	664673	665137	+	465	7	6	6	4
Interval_1331	XVI	666028	666228	+	201	3	5	4	3
Interval_1332	XVI	667319	667519	+	201	2	6	6	2
Interval_1333	XVI	673643	673876	+	234	5	4	3	5
Interval_1334	XVI	678455	679436	+	982	41	33	28	37
Interval_1335	XVI	685137	685414	+	278	3	2	1	0
Interval_1336	XVI	689489	689924	+	436	16	8	9	15
Interval_1337	XVI	695125	695591	+	467	15	12	11	14
Interval_1338	XVI	699930	700436	+	507	17	25	21	16
Interval_1339	XVI	701300	702216	+	917	12	8	7	10
Interval_1340	XVI	719315	719521	+	207	5	9	5	5
Interval_1341	XVI	729543	729887	+	345	8	6	6	6
Interval_1342	XVI	731822	732276	+	455	10	18	15	9
Interval_1343	XVI	742224	742424	+	201	3	3	1	3
Interval_1344	XVI	744183	744566	+	384	8	8	8	8
Interval_1345	XVI	747173	747575	+	403	6	2	2	4
Interval_1346	XVI	752062	752340	+	279	9	2	2	8
Interval_1347	XVI	769094	769299	+	206	6	4	3	5
Interval_1348	XVI	770667	771106	+	440	17	13	14	14
Interval_1349	XVI	775431	776076	+	646	19	13	13	16
Interval_1350	XVI	781733	782043	+	311	7	6	5	7
Interval_1351	XVI	785625	785956	+	332	7	9	8	6
Interval_1352	XVI	794181	794976	+	796	29	18	15	25
Interval_1353	XVI	812541	813058	+	518	15	16	13	15
Interval_1354	XVI	821665	822647	+	983	32	23	22	30
Interval_1355	XVI	828829	829554	+	726	36	26	23	33
Interval_1356	XVI	840166	840992	+	827	32	17	16	27
Interval_1357	XVI	855728	857288	+	1561	42	22	9	32
Interval_1358	XVI	860284	860836	+	553	20	7	7	17
Interval_1359	XVI	866466	866742	+	277	7	4	3	6
Interval_1360	XVI	870071	870281	+	211	9	1	1	9
Interval_1361	XVI	874907	876646	+	1740	13	14	14	11
Interval_1362	XVI	882849	883618	+	770	14	5	4	14
Interval_1363	XVI	899673	900773	+	1101	19	9	9	19
Interval_1364	XVI	901509	901858	+	350	12	7	8	11
Interval_1365	XVI	921128	921372	+	245	5	3	3	5
Interval_1366	XVI	927657	928940	+	1284	37	28	24	37
Interval_1367	XVI	942449	942926	+	478	22	22	15	13
